2014-11-17 22:33:14,117 | ERROR | Temporary Store limit is 51200 mb, whilst the temporary data directory: /home/rami/workspace/ChainReplication/apache-activemq-5.9.1/apache-activemq-5.9.1/bin/linux-x86-32/../../data/localhost/tmp_storage only has 32667 mb of usable space - resetting to maximum available 32667 mb. | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-11-17 22:33:15,083 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2014-11-17 22:33:15,169 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2014-11-17 22:33:16,109 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | WrapperSimpleAppMain
2014-11-17 22:33:24,547 | WARN  | Transport Connection to: tcp://127.0.0.1:36609 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36609@61616
2014-11-17 22:33:24,547 | WARN  | Transport Connection to: tcp://127.0.0.1:36628 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36628@61616
2014-11-17 22:33:24,554 | WARN  | Transport Connection to: tcp://127.0.0.1:36610 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36610@61616
2014-11-17 22:33:24,549 | WARN  | Transport Connection to: tcp://127.0.0.1:36627 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36627@61616
2014-11-17 22:33:24,549 | WARN  | Transport Connection to: tcp://127.0.0.1:36626 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36626@61616
2014-11-17 22:33:24,549 | WARN  | Transport Connection to: tcp://127.0.0.1:36621 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36621@61616
2014-11-17 22:33:24,560 | WARN  | Transport Connection to: tcp://127.0.0.1:36613 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36613@61616
2014-11-17 22:33:24,549 | WARN  | Transport Connection to: tcp://127.0.0.1:36629 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36629@61616
2014-11-17 22:33:24,549 | WARN  | Transport Connection to: tcp://127.0.0.1:36615 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36615@61616
2014-11-17 22:33:24,549 | WARN  | Transport Connection to: tcp://127.0.0.1:36612 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36612@61616
2014-11-17 22:33:24,549 | WARN  | Transport Connection to: tcp://127.0.0.1:36623 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36623@61616
2014-11-17 22:33:26,067 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:rami-Compaq-621-57787-1416281592638-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-38
2014-11-17 22:33:26,068 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-38
2014-11-17 22:33:26,068 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | Thread-38
2014-11-17 22:33:26,069 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | Thread-38
2014-11-17 22:33:26,069 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | Thread-38
2014-11-17 22:33:26,134 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | Thread-38
2014-11-17 22:33:26,145 | INFO  | PListStore:[/home/rami/workspace/ChainReplication/apache-activemq-5.9.1/apache-activemq-5.9.1/bin/linux-x86-32/../../data/localhost/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-38
2014-11-17 22:33:26,145 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-38
2014-11-17 22:33:26,145 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-38
2014-11-17 22:33:26,146 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-38
2014-11-17 22:33:26,393 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:rami-Compaq-621-57787-1416281592638-0:1) uptime 16.851 seconds | org.apache.activemq.broker.BrokerService | Thread-38
2014-11-17 22:33:26,393 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:rami-Compaq-621-57787-1416281592638-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-38
2014-11-17 22:33:26,394 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@1c342bd: startup date [Mon Nov 17 22:33:07 EST 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-38
2014-11-17 22:33:26,421 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | Thread-38
2014-11-17 22:33:31,734 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@52ac20: startup date [Mon Nov 17 22:33:31 EST 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2014-11-17 22:33:34,095 | INFO  | PListStore:[/home/rami/workspace/ChainReplication/apache-activemq-5.9.1/apache-activemq-5.9.1/bin/linux-x86-32/../../data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2014-11-17 22:33:34,146 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/home/rami/workspace/ChainReplication/apache-activemq-5.9.1/apache-activemq-5.9.1/bin/linux-x86-32/../../data/kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-11-17 22:33:35,033 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2014-11-17 22:33:35,063 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2014-11-17 22:33:37,042 | INFO  | Recovery replayed 90997 operations from the journal in 1.997 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2014-11-17 22:33:37,276 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:rami-Compaq-621-53044-1416281617096-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-11-17 22:33:37,813 | INFO  | Listening for connections at: tcp://rami-Compaq-621:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
